multiple,mean,median,range,slope
1,107.5384,99.0,350,0.00030383920560638357
2,108.5384,100.0,350,0.00015191960280319178
3,118.92006,112.0,435,0.00010203192842220316
4,109.5384,101.0,350,7.595980140159589e-05
5,124.25792,117.0,399,6.337136592873714e-05
6,119.92006,113.0,435,5.101596421110158e-05
7,127.92945,122.0,441,4.5268087327098245e-05
8,110.5384,102.0,350,3.7979900700797946e-05
9,130.2629,124.0,452,3.5080427850174705e-05
10,125.25792,118.0,399,3.168568296436857e-05
11,132.32973,126.0,490,2.8694426500505824e-05
12,120.92006,114.0,435,2.550798210555079e-05
13,134.19441,128.0,497,2.3459568315730586e-05
14,128.92945,123.0,441,2.2634043663549122e-05
15,135.53644,129.0,514,2.1292301026929223e-05
16,111.5384,103.0,350,1.8989950350398973e-05
17,136.93818,131.0,500,1.7810682582722248e-05
18,131.2629,125.0,452,1.7540213925087353e-05
19,138.11192,132.0,472,1.5791000742631737e-05
20,126.25792,119.0,399,1.5842841482184285e-05
21,138.84302,133.0,526,1.4903657108918938e-05
22,133.32973,127.0,490,1.4347213250252912e-05
23,139.96894,134.0,503,1.3402659311775046e-05
24,121.92006,115.0,435,1.2753991052775395e-05
25,141.28144,135.0,545,1.240775562268078e-05
26,135.19441,129.0,497,1.1729784157865293e-05
27,141.42286,135.0,484,1.1753795071397607e-05
28,129.92945,124.0,441,1.1317021831774561e-05
29,142.68852,137.0,510,1.0331726780067655e-05
30,136.53644,130.0,514,1.0646150513464611e-05
31,142.88149,137.0,512,1.0438727523172906e-05
32,112.5384,104.0,350,9.494975175199486e-06
33,143.90956,138.0,528,9.653750298783558e-06
34,137.93818,132.0,500,8.905341291361124e-06
35,144.46884,138.0,520,8.958144468210103e-06
36,132.2629,126.0,452,8.770106962543676e-06
37,144.85396,139.0,497,8.617893646915844e-06
38,139.11192,133.0,472,7.895500371315869e-06
39,145.03762,140.0,492,8.041871656496488e-06
40,127.25792,120.0,399,7.921420741092143e-06
41,145.79364,140.0,515,7.898163540204451e-06
42,139.84302,134.0,526,7.451828554459469e-06
43,147.02475,141.0,516,6.989922665303642e-06
44,134.32973,128.0,490,7.173606625126456e-06
45,146.99298,141.0,502,7.0157957977682484e-06
46,140.96894,135.0,503,6.701329655887523e-06
47,147.74914,142.0,514,6.608102188235279e-06
48,122.92006,116.0,435,6.376995526387697e-06
49,147.76329,141.0,513,6.29703198932358e-06
50,142.28144,136.0,545,6.20387781134039e-06
51,148.26757,142.0,537,5.851808254585182e-06
52,136.19441,130.0,497,5.864892078932647e-06
53,148.80395,143.0,523,5.853906051189164e-06
54,142.42286,136.0,484,5.8768975356988035e-06
55,149.11788,143.0,512,5.681956828059106e-06
56,130.92945,125.0,441,5.6585109158872806e-06
57,149.6001,144.0,523,5.418248474857615e-06
58,143.68852,138.0,510,5.1658633900338275e-06
59,150.12638,144.0,509,5.24832320899941e-06
60,137.53644,131.0,514,5.323075256732306e-06
61,149.77878,144.0,531,5.117928037101966e-06
62,143.88149,138.0,512,5.219363761586453e-06
63,150.15568,144.0,549,5.224605210998669e-06
64,113.5384,105.0,350,4.747487587599743e-06
65,150.55522,144.0,550,4.878785196487899e-06
66,144.90956,139.0,528,4.826875149391779e-06
67,151.15232,146.0,589,4.585311660816768e-06
68,138.93818,133.0,500,4.452670645680562e-06
69,151.2743,146.0,531,4.52377623697415e-06
70,145.46884,139.0,520,4.4790722341050515e-06
71,151.59186,146.0,545,4.312885198910197e-06
72,133.2629,127.0,452,4.385053481271838e-06
73,152.04817,146.0,526,4.161933866964176e-06
74,145.85396,140.0,497,4.308946823457922e-06
75,152.70697,147.0,606,4.011341432321175e-06
76,140.11192,134.0,472,3.947750185657934e-06
77,152.41027,147.0,528,3.996890743178954e-06
78,146.03762,141.0,492,4.020935828248244e-06
79,152.84435,147.0,482,3.9621512427506955e-06
80,128.25792,121.0,399,3.960710370546071e-06
81,152.89789,147.0,551,3.867193033942328e-06
82,146.79364,141.0,515,3.949081770102226e-06
83,153.39597,147.0,590,3.7092202739372544e-06
84,140.84302,135.0,526,3.7259142772297346e-06
85,153.60139,147.0,523,3.5963064641009065e-06
86,148.02475,142.0,516,3.494961332651821e-06
87,153.70158,147.0,515,3.5596931535974492e-06
88,135.32973,129.0,490,3.586803312563228e-06
89,153.81899,147.0,643,3.510052175744362e-06
90,147.99298,142.0,502,3.5078978988841242e-06
91,154.32257,148.0,651,3.3851876926243277e-06
92,141.96894,136.0,503,3.3506648279437615e-06
93,154.20166,148.0,598,3.4334170257627894e-06
94,148.74914,143.0,514,3.3040510941176394e-06
95,154.88849,150.0,572,3.2522077836726762e-06
96,123.92006,117.0,435,3.1884977631938487e-06
97,155.00988,150.0,556,3.1084996939191786e-06
98,148.76329,142.0,513,3.14851599466179e-06
99,154.9424,149.0,528,3.2141787018972584e-06
100,143.28144,137.0,545,3.101938905670195e-06
101,156.03405,150.0,551,2.862269167236793e-06
102,149.26757,143.0,537,2.925904127292591e-06
103,155.33416,149.0,534,3.020443691603088e-06
104,137.19441,131.0,497,2.9324460394663233e-06
105,155.93004,150.0,532,2.993267595270825e-06
106,149.80395,144.0,523,2.926953025594582e-06
107,155.91802,150.0,558,2.8428728934432313e-06
108,143.42286,137.0,484,2.9384487678494018e-06
109,155.94855,150.0,556,2.8442687578441235e-06
110,150.11788,144.0,512,2.840978414029553e-06
111,156.04555,150.0,581,2.8561698629343273e-06
112,131.92945,126.0,441,2.8292554579436403e-06
113,156.59774,150.0,606,2.7944846459078264e-06
114,150.6001,145.0,523,2.7091242374288076e-06
115,156.70015,151.0,528,2.7808733422085797e-06
116,144.68852,139.0,510,2.5829316950169137e-06
117,156.46063,150.0,549,2.6459974911877305e-06
118,151.12638,145.0,509,2.624161604499705e-06
119,157.28963,152.0,532,2.6431606890878957e-06
120,138.53644,132.0,514,2.661537628366153e-06
121,157.36044,152.0,523,2.4894144224638613e-06
122,150.77878,145.0,531,2.558964018550983e-06
123,157.16453,151.0,596,2.598646022942833e-06
124,144.88149,139.0,512,2.6096818807932266e-06
125,157.09395,151.0,536,2.4957733733856136e-06
126,151.15568,145.0,549,2.6123026054993344e-06
127,157.46831,152.0,518,2.5014718158564795e-06
128,114.5384,106.0,350,2.3737437937998716e-06
