multiple,mean,median,range,slope
1,107.5384,99.0,350,0.00030383920560638357
3,118.92006,112.0,435,0.00010203192842220316
5,124.25792,117.0,399,6.337136592873714e-05
7,127.92945,122.0,441,4.5268087327098245e-05
9,130.2629,124.0,452,3.5080427850174705e-05
11,132.32973,126.0,490,2.8694426500505824e-05
13,134.19441,128.0,497,2.3459568315730586e-05
15,135.53644,129.0,514,2.1292301026929223e-05
17,136.93818,131.0,500,1.7810682582722248e-05
19,138.11192,132.0,472,1.5791000742631737e-05
21,138.84302,133.0,526,1.4903657108918938e-05
23,139.96894,134.0,503,1.3402659311775046e-05
25,141.28144,135.0,545,1.240775562268078e-05
27,141.42286,135.0,484,1.1753795071397607e-05
29,142.68852,137.0,510,1.0331726780067655e-05
31,142.88149,137.0,512,1.0438727523172906e-05
33,143.90956,138.0,528,9.653750298783558e-06
35,144.46884,138.0,520,8.958144468210103e-06
37,144.85396,139.0,497,8.617893646915844e-06
39,145.03762,140.0,492,8.041871656496488e-06
41,145.79364,140.0,515,7.898163540204451e-06
43,147.02475,141.0,516,6.989922665303642e-06
45,146.99298,141.0,502,7.0157957977682484e-06
47,147.74914,142.0,514,6.608102188235279e-06
49,147.76329,141.0,513,6.29703198932358e-06
51,148.26757,142.0,537,5.851808254585182e-06
53,148.80395,143.0,523,5.853906051189164e-06
55,149.11788,143.0,512,5.681956828059106e-06
57,149.6001,144.0,523,5.418248474857615e-06
59,150.12638,144.0,509,5.24832320899941e-06
61,149.77878,144.0,531,5.117928037101966e-06
63,150.15568,144.0,549,5.224605210998669e-06
65,150.55522,144.0,550,4.878785196487899e-06
67,151.15232,146.0,589,4.585311660816768e-06
69,151.2743,146.0,531,4.52377623697415e-06
71,151.59186,146.0,545,4.312885198910197e-06
73,152.04817,146.0,526,4.161933866964176e-06
75,152.70697,147.0,606,4.011341432321175e-06
77,152.41027,147.0,528,3.996890743178954e-06
79,152.84435,147.0,482,3.9621512427506955e-06
81,152.89789,147.0,551,3.867193033942328e-06
83,153.39597,147.0,590,3.7092202739372544e-06
85,153.60139,147.0,523,3.5963064641009065e-06
87,153.70158,147.0,515,3.5596931535974492e-06
89,153.81899,147.0,643,3.510052175744362e-06
91,154.32257,148.0,651,3.3851876926243277e-06
93,154.20166,148.0,598,3.4334170257627894e-06
95,154.88849,150.0,572,3.2522077836726762e-06
97,155.00988,150.0,556,3.1084996939191786e-06
99,154.9424,149.0,528,3.2141787018972584e-06
101,156.03405,150.0,551,2.862269167236793e-06
103,155.33416,149.0,534,3.020443691603088e-06
105,155.93004,150.0,532,2.993267595270825e-06
107,155.91802,150.0,558,2.8428728934432313e-06
109,155.94855,150.0,556,2.8442687578441235e-06
111,156.04555,150.0,581,2.8561698629343273e-06
113,156.59774,150.0,606,2.7944846459078264e-06
115,156.70015,151.0,528,2.7808733422085797e-06
117,156.46063,150.0,549,2.6459974911877305e-06
119,157.28963,152.0,532,2.6431606890878957e-06
121,157.36044,152.0,523,2.4894144224638613e-06
123,157.16453,151.0,596,2.598646022942833e-06
125,157.09395,151.0,536,2.4957733733856136e-06
127,157.46831,152.0,518,2.5014718158564795e-06
